Year,Extroversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position
First,8,13,6,Right-handed,Left leg in first,On your right side
First,9,8,6,Left-handed,Left leg in first,On your right side
First,1,4,6,Right-handed,Right leg in first,On your right side
First,3,3,6,Right-handed,Right leg in first,On your right side
First,4,5,6,Right-handed,Right leg in first,On your right side
First,4,7,6,Right-handed,Right leg in first,On your right side
First,4,10,6,Right-handed,Right leg in first,On your right side
First,5,1,6,Right-handed,Right leg in first,On your right side
First,5,3,6,Right-handed,Right leg in first,On your right side
First,6,2,6,Right-handed,Right leg in first,On your right side
First,6,4,6,Right-handed,Right leg in first,On your right side
First,6,15,6,Right-handed,Right leg in first,On your right side
First,7,3,6,Right-handed,Right leg in first,On your right side
First,8,5,6,Right-handed,Right leg in first,On your right side
First,8,6,6,Right-handed,Right leg in first,On your right side
First,8,6,6,Right-handed,Right leg in first,On your right side
First,8,10,6,Right-handed,Right leg in first,On your right side
First,9,5,6,Right-handed,Right leg in first,On your right side
First,10,13,6,Right-handed,Right leg in first,On your right side
First,8,3,6,Right-handed,I don't know,On your stomach
First,8,10,6,Right-handed,Left leg in first,On your stomach
First,9,12,6,Left-handed,Left leg in first,On your stomach
First,9,20,6,Right-handed,Left leg in first,On your stomach
First,7,2,6,Right-handed,Right leg in first,On your stomach
First,7,3,6,Right-handed,Right leg in first,On your stomach
First,7,5,6,Right-handed,Right leg in first,On your stomach
Fourth,8,3,6,Right-handed,I don't know,On your back
Fourth,2,3,6,Left-handed,Right leg in first,On your back
Fourth,4,4,6,Right-handed,Right leg in first,On your back
Fourth,5,6,6,Right-handed,Right leg in first,On your back
Fourth,4,5,6,Right-handed,I don't know,On your left side
Fourth,5,3,6,Right-handed,Left leg in first,On your left side
Fourth,5,4,6,Right-handed,Left leg in first,On your left side
Fourth,8,2,6,Right-handed,Left leg in first,On your left side
Fourth,3,3,6,Right-handed,Right leg in first,On your left side
Fourth,6,7,6,Right-handed,Right leg in first,On your left side
Fourth,4,2,6,Left-handed,Left leg in first,On your right side
Fourth,5,2,6,Right-handed,Left leg in first,On your right side
Fourth,6,4,6,Right-handed,Left leg in first,On your right side
Fourth,7,12,6,Right-handed,Left leg in first,On your right side
Fourth,8,5,6,Right-handed,Left leg in first,On your right side
Fourth,3,5,6,Right-handed,Right leg in first,On your right side
Fourth,6,2,6,Right-handed,Right leg in first,On your right side
Fourth,5,10,6,Left-handed,Left leg in first,On your stomach
Fourth,7,10,6,Right-handed,Right leg in first,On your stomach
Fourth,8,10,6,Right-handed,Right leg in first,On your stomach
Second,2,1,6,Right-handed,I don't know,On your back
Second,3,2,6,Right-handed,I don't know,On your back
Second,4,2,6,Right-handed,I don't know,On your back
Second,6,5,6,Right-handed,I don't know,On your back
Second,6,21,6,Right-handed,I don't know,On your back
Second,3,5,6,Right-handed,Left leg in first,On your back
Second,5,5,6,Right-handed,Left leg in first,On your back
Second,7,1,6,Right-handed,Left leg in first,On your back
Second,8,5,6,Right-handed,Left leg in first,On your back
Second,9,10,6,Right-handed,Left leg in first,On your back
Second,4,3,6,Right-handed,Right leg in first,On your back
Second,5,1,6,Right-handed,Right leg in first,On your back
Second,7,3,6,Right-handed,Right leg in first,On your back
Second,7,4,6,Right-handed,Right leg in first,On your back
Second,7,4,6,Right-handed,Right leg in first,On your back
Second,8,4,6,Right-handed,Right leg in first,On your back
Second,4,2,6,Right-handed,I don't know,On your left side
Second,3,5,6,Left-handed,Left leg in first,On your left side
Second,3,5,6,Right-handed,Left leg in first,On your left side
Second,4,6,6,Right-handed,Left leg in first,On your left side
Second,4,6,6,Right-handed,Left leg in first,On your left side
Second,5,3,6,Right-handed,Left leg in first,On your left side
Second,5,3,6,Right-handed,Left leg in first,On your left side
Second,5,3,6,Right-handed,Left leg in first,On your left side
Second,5,4,6,Right-handed,Left leg in first,On your left side
Second,6,3,6,Right-handed,Left leg in first,On your left side
Second,7,7,6,Right-handed,Left leg in first,On your left side
Second,8,6,6,Right-handed,Left leg in first,On your left side
Second,9,3,6,Right-handed,Left leg in first,On your left side
Second,2,2,6,Right-handed,Right leg in first,On your left side
Second,5,5,6,Right-handed,Right leg in first,On your left side
Second,5,5,6,Right-handed,Right leg in first,On your left side
Second,5,7,6,Right-handed,Right leg in first,On your left side
Second,6,7,6,Right-handed,Right leg in first,On your left side
Second,7,3,6,Right-handed,Right leg in first,On your left side
Second,8,3,6,Right-handed,Right leg in first,On your left side
Second,8,5,6,Right-handed,Right leg in first,On your left side
